,decay_factor,top1_content,top1_combined,top3_content,top3_combined
0,-0.1,0.2559366754617414,0.1108179419525065,0.4722955145118733,0.41688654353562
1,-0.09,0.2559366754617414,0.1108179419525065,0.4722955145118733,0.41688654353562
2,-0.08,0.2559366754617414,0.1108179419525065,0.4722955145118733,0.4142480211081794
3,-0.07,0.2559366754617414,0.1108179419525065,0.4722955145118733,0.4142480211081794
4,-0.06,0.2559366754617414,0.1134564643799472,0.4722955145118733,0.4116094986807387
5,-0.05,0.2559366754617414,0.1134564643799472,0.4722955145118733,0.4089709762532981
6,-0.04,0.2559366754617414,0.1081794195250659,0.4722955145118733,0.41688654353562
7,-0.03,0.2559366754617414,0.1134564643799472,0.4722955145118733,0.4195250659630606
8,-0.02,0.2559366754617414,0.1160949868073878,0.4722955145118733,0.41688654353562
9,-0.01,0.2559366754617414,0.129287598944591,0.4722955145118733,0.4248021108179419
10,0.0,0.2559366754617414,0.2401055408970976,0.4722955145118733,0.4722955145118733
11,0.01,0.2559366754617414,0.3192612137203166,0.4722955145118733,0.5329815303430079
12,0.02,0.2559366754617414,0.3139841688654353,0.4722955145118733,0.5171503957783641
13,0.03,0.2559366754617414,0.3139841688654353,0.4722955145118733,0.5171503957783641
14,0.04,0.2559366754617414,0.3139841688654353,0.4722955145118733,0.5197889182058048
15,0.05,0.2559366754617414,0.3113456464379947,0.4722955145118733,0.5197889182058048
16,0.06,0.2559366754617414,0.3113456464379947,0.4722955145118733,0.5197889182058048
17,0.07,0.2559366754617414,0.3113456464379947,0.4722955145118733,0.5171503957783641
18,0.08,0.2559366754617414,0.3113456464379947,0.4722955145118733,0.5145118733509235
19,0.09,0.2559366754617414,0.3113456464379947,0.4722955145118733,0.5145118733509235
20,0.1,0.2559366754617414,0.3113456464379947,0.4722955145118733,0.5145118733509235
